n,Insert,Print,Delete,Merge,IndexOf,Clear,Min,Max,HasDuplicates,Select
167,0.0,9.94873046875e-05,0.0,5.0106048583984374e-05,0.0,0.0, 0.0,0.0,0.0,0.0
168,0.0,8.975505828857421e-05,0.0,3.990411758422852e-05,0.0,0.0, 0.0,0.0,0.0,0.0
169,0.0,0.00010944843292236328,0.0,4.9881935119628906e-05,0.0,0.0, 0.0,0.0,0.0,0.0
170,0.0,8.987665176391602e-05,0.0,5.0106048583984374e-05,0.0,0.0, 0.0,0.0,0.0,0.0
171,0.0,9.609699249267578e-05,0.0,5.016803741455078e-05,0.0,0.0, 0.0,0.0,0.0,0.0
172,0.0,8.975982666015625e-05,0.0,7.980585098266602e-05,0.0,0.0, 0.0,0.0,0.0,0.0
173,0.0,9.97471809387207e-05,0.0,6.980180740356445e-05,0.0,0.0, 0.0,0.0,0.0,0.0
174,0.0,9.942293167114258e-05,0.0,5.018234252929687e-05,0.0,0.0, 0.0,0.0,0.0,0.0
175,0.0,9.937047958374024e-05,0.0,6.018877029418945e-05,0.0,0.0, 0.0,0.0,0.0,0.0
176,0.0,9.973526000976562e-05,0.0,8.976221084594727e-05,0.0,0.0, 0.0,0.0,0.0,9.980201721191406e-06
177,0.0,9.988307952880859e-05,0.0,5.0079822540283206e-05,0.0,0.0, 0.0,0.0,0.0,0.0
178,0.0,0.0001296687126159668,0.0,5.982398986816406e-05,0.0,0.0, 0.0,0.0,0.0,0.0
179,0.0,0.00013924837112426757,9.970664978027344e-06,5.983114242553711e-05,0.0,0.0, 0.0,0.0,0.0,0.0
180,0.0,0.00014962196350097655,0.0,6.019115447998047e-05,0.0,0.0, 0.0,0.0,0.0,0.0
181,9.973049163818359e-06,0.00011647462844848632,0.0,5.9862136840820315e-05,0.0,0.0, 0.0,0.0,0.0,0.0
182,0.0,0.00010933876037597657,0.0,5.024194717407226e-05,0.0,0.0, 0.0,0.0,0.0,0.0
183,0.0,9.947299957275391e-05,0.0,6.010055541992188e-05,9.961128234863282e-06,0.0, 0.0,0.0,0.0,0.0
184,0.0,9.93514060974121e-05,0.0,5.0263404846191405e-05,0.0,0.0, 0.0,0.0,0.0,0.0
185,0.0,0.00014925241470336914,0.0,5.982398986816406e-05,0.0,0.0, 0.0,0.0,0.0,0.0
186,0.0,0.00010932445526123047,0.0,5.025863647460938e-05,0.0,0.0, 0.0,0.0,0.0,0.0
187,9.953975677490234e-06,9.937047958374024e-05,0.0,6.0095787048339844e-05,0.0,0.0, 0.0,0.0,0.0,0.0
188,0.0,9.972810745239258e-05,0.0,8.975982666015625e-05,0.0,0.0, 0.0,0.0,0.0,0.0
189,0.0,0.00010970115661621094,0.0,8.014917373657227e-05,0.0,0.0, 0.0,0.0,0.0,0.0
190,0.0,9.948015213012695e-05,0.0,7.016897201538086e-05,0.0,0.0, 0.0,0.0,0.0,0.0
191,0.0,0.00010934591293334961,0.0,7.019281387329102e-05,0.0,0.0, 0.0,0.0,0.0,0.0
192,0.0,0.00010987997055053711,0.0,8.959293365478515e-05,0.0,0.0, 0.0,0.0,0.0,0.0
193,0.0,9.982585906982422e-05,0.0,7.004499435424805e-05,1.001596450805664e-05,0.0, 0.0,0.0,0.0,0.0
194,0.0,0.00010933876037597657,0.0,7.018327713012695e-05,0.0,0.0, 0.0,0.0,0.0,0.0
195,0.0,0.00010935783386230469,0.0,0.00010009288787841797,0.0,0.0, 0.0,0.0,0.0,0.0
196,0.0,0.00010934829711914062,0.0,8.004426956176758e-05,0.0,0.0, 0.0,0.0,0.0,0.0
197,9.970664978027344e-06,9.985208511352539e-05,0.0,5.971908569335937e-05,0.0,0.0, 0.0,0.0,0.0,0.0
198,0.0,0.00010945558547973632,0.0,7.978916168212891e-05,0.0,0.0, 0.0,0.0,0.0,0.0
199,0.0,0.00013884067535400391,0.0,6.0205459594726565e-05,0.0,0.0, 9.975433349609376e-06,0.0,0.0,0.0
200,0.0,0.00013962268829345703,0.0,7.978439331054687e-05,0.0,0.0, 0.0,0.0,0.0,0.0
201,0.0,9.973526000976562e-05,0.0,9.974241256713868e-05,0.0,0.0, 0.0,0.0,0.0,0.0
202,0.0,0.0001392650604248047,0.0,9.01174545288086e-05,0.0,0.0, 0.0,0.0,0.0,0.0
203,9.973049163818359e-06,0.00010982751846313476,0.0,6.968736648559571e-05,0.0,0.0, 0.0,0.0,0.0,0.0
204,0.0,0.00011943817138671875,0.0,6.980657577514649e-05,0.0,0.0, 0.0,0.0,0.0,0.0
205,0.0,0.0001097559928894043,0.0,7.002115249633789e-05,0.0,0.0, 0.0,0.0,0.0,0.0
206,0.0,0.00012965202331542968,0.0,7.979154586791993e-05,0.0,0.0, 0.0,0.0,0.0,0.0
207,0.0,0.00014810085296630858,0.0,8.007049560546874e-05,0.0,0.0, 0.0,0.0,0.0,0.0
208,0.0,0.00015967607498168946,0.0,7.005691528320312e-05,0.0,0.0, 0.0,0.0,0.0,0.0
209,0.0,0.0001094222068786621,0.0,7.008075714111328e-05,0.0,0.0, 0.0,0.0,0.0,0.0
210,0.0,0.00013922929763793946,0.0,6.983280181884765e-05,0.0,0.0, 0.0,0.0,0.0,0.0
211,0.0,0.00013700008392333984,0.0,7.019996643066406e-05,0.0,0.0, 0.0,0.0,0.0,0.0
212,0.0,0.00011968612670898438,0.0,0.0001196742057800293,0.0,0.0, 0.0,0.0,0.0,0.0
213,0.0,0.00011931180953979492,0.0,6.982088088989258e-05,0.0,0.0, 0.0,0.0,0.0,0.0
214,0.0,0.00011967182159423828,0.0,7.978439331054687e-05,0.0,0.0, 0.0,0.0,0.0,0.0
215,0.0,0.00015917778015136718,0.0,7.977724075317383e-05,0.0,0.0, 0.0,0.0,0.0,0.0
216,0.0,0.00011071205139160157,0.0,0.00011967182159423828,0.0,0.0, 0.0,0.0,0.0,0.0
217,0.0,0.00012934446334838867,0.0,8.008718490600587e-05,0.0,0.0, 0.0,0.0,0.0,0.0
218,0.0,0.00011967897415161133,0.0,6.0203075408935545e-05,9.99927520751953e-06,0.0, 0.0,0.0,0.0,0.0
219,0.0,0.00010945558547973632,0.0,9.865999221801758e-05,0.0,0.0, 0.0,0.0,0.0,0.0
220,0.0,0.00011928319931030273,0.0,7.020235061645508e-05,9.949207305908202e-06,0.0, 0.0,0.0,0.0,0.0
221,0.0,0.00014930248260498048,0.0,8.00776481628418e-05,0.0,0.0, 0.0,0.0,0.0,0.0
222,0.0,0.00011967897415161133,0.0,9.974479675292969e-05,0.0,0.0, 0.0,0.0,0.0,0.0
223,0.0,0.00011932849884033203,0.0,8.013486862182618e-05,0.0,0.0, 0.0,0.0,0.0,0.0
224,0.0,0.00011930227279663086,0.0,9.018182754516602e-05,0.0,0.0, 0.0,0.0,0.0,0.0
225,0.0,0.00011933565139770507,0.0,8.015155792236328e-05,0.0,0.0, 0.0,0.0,0.0,0.0
226,0.0,0.0001592135429382324,0.0,8.003711700439453e-05,0.0,0.0, 0.0,0.0,0.0,0.0
227,0.0,0.00010978460311889649,0.0,9.966373443603515e-05,0.0,0.0, 0.0,0.0,0.0,0.0
228,0.0,0.00014960765838623047,0.0,8.00323486328125e-05,0.0,0.0, 0.0,0.0,0.0,0.0
